id_trial,Period,Rain,AccRain,Radn,MaxT,MinT,ThermalTime,AccTT,AccEmTT,NutrientStress,TempStress,WaterStress,Period_Start_Date,Period_End_Date,Period_Start_DOY,Length,Period_End_DOY
1,1,3.186451627362159,3.186451627362159,17.71416364177581,17.168387074624338,3.83806450280451,5.980696569918708,5.980696569918708,0,0.3,0.683283409129502,1,2015-04-02T12:00:00Z,2015-05-02T12:00:00Z,92,30,122
1,2,2.934285725866045,2.934285725866045,16.112538746425084,23.321428843906947,13.074285779680524,10.91086314198933,10.91086314198933,0,1,1,1,2015-05-03T12:00:00Z,2015-05-09T12:00:00Z,123,6,129
1,3,4.371600029468536,4.371600029468536,18.655306243896483,20.6503999710083,9.754800033569335,8.95860141205218,8.95860141205218,223.96503530130457,0.9999999999999999,0.8832285700525556,1,2015-05-10T12:00:00Z,2015-06-03T12:00:00Z,130,24,154
1,5,6.472195109943065,6.472195109943065,20.283226757514768,26.487560923506575,15.669512120688834,13.360536119883687,13.360536119883687,771.7470162165358,0.9999999999999999,1,1,2015-06-04T12:00:00Z,2015-07-14T12:00:00Z,155,40,195
1,6,9.066666762034098,9.066666762034098,16.646986961364746,29.513333002726238,19.64000066121419,16.576666831970215,16.576666831970215,821.4770167124465,1,1,1,2015-07-15T12:00:00Z,2015-07-17T12:00:00Z,196,2,198
1,7,8.914545492692428,8.914545492692428,18.299830176613547,28.299090645530008,17.983636422590777,15.247165031982432,15.247165031982432,989.1958320642532,1,1,1,2015-07-18T12:00:00Z,2015-07-28T12:00:00Z,199,10,209
1,8,6.120645201013934,6.120645201013934,16.748986997912006,26.38370959989486,14.787903185813658,13.068124973950058,13.068124973950058,1799.4195804491562,1,1,1,2015-07-29T12:00:00Z,2015-09-28T12:00:00Z,210,61,271
1,10,0,0,13.367599927462065,20.436153558584362,6.870000123977661,7.939196822021864,7.939196822021864,1902.62913913544,0.9999999999999999,0.924120864370367,1,2015-09-29T12:00:00Z,2015-10-11T12:00:00Z,272,12,284
1,11,1.6496874690055847,1.6496874690055847,8.848059102892876,16.609062552452087,4.065625040791929,5.884246131422733,5.884246131422733,1912.514531660305,0.32187499999999997,0.622187508236883,1,2015-10-12T12:00:00Z,2015-11-12T12:00:00Z,285,31,316
2,1,3.186451627362159,3.186451627362159,17.71416364177581,17.168387074624338,3.83806450280451,5.980696569918708,5.980696569918708,0,0.3,0.683283409129502,1,2015-04-02T12:00:00Z,2015-05-02T12:00:00Z,92,30,122
2,2,2.934285725866045,2.934285725866045,16.112538746425084,23.321428843906947,13.074285779680524,10.91086314198933,10.91086314198933,0,1,1,1,2015-05-03T12:00:00Z,2015-05-09T12:00:00Z,123,6,129
2,3,4.442608732244243,4.442608732244243,18.64236715565557,20.38478258381719,9.58652177064315,8.814119622197273,8.814119622197273,202.7247513105373,0.9999999999999999,0.8730745326658214,1,2015-05-10T12:00:00Z,2015-06-01T12:00:00Z,130,22,152
2,5,6.645609741530767,6.645609741530767,20.21943608725943,26.093658540307022,15.188048688376822,12.967860139197192,12.967860139197192,734.4070170176223,0.9999999999999999,1,1,2015-06-02T12:00:00Z,2015-07-12T12:00:00Z,153,40,193
2,6,0,0,20.111814498901367,31.779998779296875,21.5600004196167,18.669999599456787,18.669999599456787,771.7470162165358,1,1,1,2015-07-13T12:00:00Z,2015-07-14T12:00:00Z,194,1,195
2,7,4.036363645033403,4.036363645033403,19.247950900684703,28.879090569236062,17.893636616793547,15.492165090936844,15.492165090936844,942.160832216841,0.9999999999999999,1,1,2015-07-15T12:00:00Z,2015-07-25T12:00:00Z,196,10,206
2,8,7.798461569043306,7.798461569043306,17.43981817135444,26.6671152481666,15.482692269178537,13.484478879395764,13.484478879395764,1643.3537339454203,0.9999999999999999,1,1,2015-07-26T12:00:00Z,2015-09-15T12:00:00Z,207,51,258
2,10,4.628750070929527,4.628750070929527,13.126438319683075,24.923750162124634,12.913749992847443,11.69135001997004,11.69135001997004,1736.8845341051804,0.9999999999999998,1,1,2015-09-16T12:00:00Z,2015-09-23T12:00:00Z,259,7,266
2,11,1.1429032356508317,1.1429032356508317,11.967215538024902,20.65774191579511,7.580645222337015,8.297687316478667,8.297687316478667,1749.6871508052045,0.3225806451612903,0.9003571409062581,1,2015-09-24T12:00:00Z,2015-10-24T12:00:00Z,267,30,297
3,1,3.186451627362159,3.186451627362159,17.71416364177581,17.168387074624338,3.83806450280451,5.980696569918708,5.980696569918708,0,0.3,0.683283409129502,1,2015-04-02T12:00:00Z,2015-05-02T12:00:00Z,92,30,122
3,2,2.934285725866045,2.934285725866045,16.112538746425084,23.321428843906947,13.074285779680524,10.91086314198933,10.91086314198933,0,1,1,1,2015-05-03T12:00:00Z,2015-05-09T12:00:00Z,123,6,129
3,3,4.370000037054221,4.370000037054221,18.6486759185791,20.448749979337055,9.614166696866354,8.837071265448161,8.837071265448161,212.0897103707559,0.9999999999999999,0.8783630938047454,1,2015-05-10T12:00:00Z,2015-06-02T12:00:00Z,130,23,153
3,5,6.4230952227399465,6.4230952227399465,20.24825550260998,26.463809467497327,15.609047549111503,13.325173948709045,13.325173948709045,771.7470162165358,0.9999999999999999,1,1,2015-06-03T12:00:00Z,2015-07-14T12:00:00Z,154,41,195
3,6,20.600000381469727,20.600000381469727,12.867937088012695,26.850000381469727,18.950000762939453,14.90000057220459,14.90000057220459,786.6470167887404,1,1,1,2015-07-15T12:00:00Z,2015-07-15T12:00:00Z,196,0,196
