Hybrid,Genetics,Mat
CG118/CG44,108.48405900854699,B_108
CG118/CGR01,106.51842060089035,B_105
CG118/CGR03,106.7930126053669,B_105
CG118/LH198,108.48405900854699,B_108
CG118/LH82,109.86390905916245,B_108
CG118/PHZ51,103.68304586974969,B_103
CG119/CG102,109.1619317069632,B_108
CG119/CG108,121.17053660610733,B_120
CG119/CG44,107.49498995756615,B_108
CG119/LH198,101.01150219513485,B_100
CG119/LH82,109.86390905916245,B_108
CG119/PHZ51,108.48405900854699,B_108
CG120/CG123,100.9413840313118,B_100
CG120/DK3IIH6,106.29306307936511,B_105
CG120/LH162,106.29306307936511,B_105
CG120/LH185,106.51842060089035,B_105
CG120/LH198,93.53894538172271,B_95
CG120/LH82,108.48405900854699,B_108
CG120/PHK05,106.74377812241558,B_105
CG120/PHK56,101.8537489850532,B_100
CG120/PHR25,106.29306307936511,B_105
CG120/PHW03,106.29306307936511,B_105
CG120/PHZ51,105.7436847746476,B_105
CG121/LH198,104.42409350377059,B_103
CG121/LH82,109.1619317069632,B_108
CG121/PHZ51,109.1619317069632,B_108
CG122/CG102,108.48405900854699,B_108
CG122/PHB47,106.7930126053669,B_105
CG122/PHZ51,101.01150219513485,B_100
CG123/CG102,108.8229953577551,B_108
CG123/LH145,106.29306307936511,B_105
CG123/PHB47,104.42409350377059,B_103
CG123/PHHV4,101.1301606008398,B_100
CG123/PHRE1,106.29306307936511,B_105
CG123/S8324,106.29306307936511,B_105
CG124/CG120,106.29306307936511,B_105
CG124/LH145,106.29306307936511,B_105
CG124/PHB47,106.7930126053669,B_105
CG124/PHHV4,106.29306307936511,B_105
CG124/PHRE1,106.29306307936511,B_105
CG124/S8324,106.29306307936511,B_105
CG125/PHB47,108.8229953577551,B_108
CG125/PHZ51,108.8229953577551,B_108
CG126/PHB47,109.1619317069632,B_108
CG127/PHB47,108.48405900854699,B_108
CG127/PHZ51,108.48405900854699,B_108
CG44/CG110,109.86390905916245,B_108
CG44/CGR01,122.2688015766331,B_120
CG44/CGR03,106.7930126053669,B_105
CG44/LH162,108.48405900854699,B_108
CG60/CG110,109.86390905916245,B_108
CG60/CG111,108.8229953577551,B_108
CG60/LH162,113.36389147343,B_112
CG60/LH185,106.51842060089035,B_105
CG60/LH82,106.29306307936511,B_105
CG60/PHB47,106.7930126053669,B_105
CG60/PHZ51,110.6578675642857,B_110
CG65/CG102,109.1619317069632,B_108
CG65/CG108,110.5658864113617,B_110
CG65/LH185,109.1619317069632,B_108
CG65/LH198,108.48405900854699,B_108
CG65/LH82,109.86390905916245,B_108
CG65/PHZ51,114.4708011722915,B_115
CGR01/LH195,106.74377812241558,B_105
CGR01/LH198,108.65303891278057,B_108
CGR01/LH82,109.6417961298062,B_108
CGR01/PHB47,93.53894538172271,B_95
CGR03/LH82,108.8229953577551,B_108
CGR03/PHB47,109.1619317069632,B_108
CGR04/LH195,109.1619317069632,B_108
CGX333/LH198,107.49498995756615,B_108
CGX333/LH82,108.8229953577551,B_108
CGX333/PHZ51,108.48405900854699,B_108
CH753-4/LH82,117.0427171038011,B_115
CH753-4/PHZ51,117.0427171038011,B_115
CI540/DK3IIH6,115.51220765544954,B_115
CM105/LH82,104.42409350377059,B_103
CM105/PHZ51,104.42409350377059,B_103
CML103/LH195,120.9926360128205,B_120
CML103/LH82,119.0176765583108,B_120
CML103/PHB47,122.56836429897663,B_120
CML228/PHB47,120.72508967442826,B_120
CML228/PHZ51,120.72508967442826,B_120
CML247/LH195,120.72508967442826,B_120
CML247/LH82,120.72508967442826,B_120
CML269/LH195,137.74124190006614,B_130
CML322/PHB47,120.9926360128205,B_120
CML322/PHZ51,120.9926360128205,B_120
CML333/LH82,120.9926360128205,B_120
CML333/PHB47,120.9926360128205,B_120
CML69/LH195,121.78050015589857,B_120
CML69/LH82,121.78050015589857,B_120
CO258/DK3IIH6,115.51220765544954,B_115
D54VC14RIB,130.7322132045455,B_130
DE811/LH82,117.0427171038011,B_115
DE811/PHZ51,117.0427171038011,B_115
DK3IIH6/LH244,126.13108057256335,B_130
DK3IIH6/PHRE1,101.8537489850532,B_100
DK3IIH6/S8324,106.29306307936511,B_105
DK4676A/LH82,120.45754333603601,B_120
DK4676A/PHZ51,120.45754333603601,B_120
DK78010/DK3IIH6,115.51220765544954,B_115
DK78010/LH244,126.13108057256335,B_130
DK78371A/PHB47,108.48405900854699,B_108
DKC29-89RIB,102.55053683333327,B_103
DKC45-79,100.96114262661075,B_100
DKC46-61,106.29306307936511,B_105
DKC48_95RIB,102.55053683333327,B_103
DKC52-62,107.09976683431881,B_108
DKC53-56RIB,106.29306307936511,B_105
DKC53-68RIB,105.65910484406754,B_105
DKC53-78RIB,106.29306307936511,B_105
DKC54-40RIB,137.49493093013467,B_130
DKC57-23RIB,112.8007887353597,B_112
DKC58-64RIB,116.794142164863,B_115
DKC60-67RIB,125.24403656084971,B_120
DKC61-36,124.68222187653035,B_120
DKC61-54RIB,125.24403656084971,B_120
DKC61-72,124.68222187653035,B_120
DKC62-08,142.92427418405106,B_130
DKC62-08RIB,137.49493093013467,B_130
DKC62-20RIB,122.1224378545796,B_120
DKC62-53RIB,126.6639819588744,B_130
DKC62-54RIB,126.6639819588744,B_130
DKC62-77,121.90956637456439,B_120
DKC63-45,124.68222187653035,B_120
DKC63-55,131.28735707539678,B_130
DKC63-87RIB,137.49493093013467,B_130
DKC64-35RIB,122.1224378545796,B_120
DKC64-65RIB,130.7322132045455,B_130
DKC64-69,123.7174452019705,B_120
DKC64-69RIB,137.49493093013467,B_130
DKC65-19RIB,129.80868439235712,B_130
DKC65-71RIB,122.1224378545796,B_120
DKC66-40RIB,144.58871866841142,B_130
DKC66-87,137.74124190006614,B_130
DKC67-44,136.78924721840178,B_130
DKC67-72,137.74124190006614,B_130
DKC67-72RIB,122.1224378545796,B_120
DKC67-88,138.0336775089884,B_130
DKC69-29,148.39479145321314,B_130
DKC69-72,143.21795128337357,B_130
DKFBHJ/DK3IIH6,115.51220765544954,B_115
DKFBHJ/LH82,112.76338805617405,B_112
DKFBHJ/PHZ51,112.76338805617405,B_112
DKL46-611,101.8537489850532,B_100
DKPB80/PHZ51,123.96336153529809,B_120
DYNA-GRO_49VP88,119.80554070138886,B_120
EX3101,101.1301606008398,B_100
EX4101,101.1301606008398,B_100
EX4104,101.35043854434295,B_100
EX5101,100.367503749294,B_100
F42/H95,123.9256331347662,B_120
F42/MO17,123.69203416923531,B_120
F42/OH43,123.79137584306191,B_120
FBLA/DK3IIH6,115.51220765544954,B_115
FE/DK3IIH6,118.8061743932927,B_120
FR19/DK3IIH6,115.51220765544954,B_115
FS5424XRR,109.1619317069632,B_108
FS6296VT3,101.1301606008398,B_100
Fill,140.0860659040404,B_130
G10D98,91.6891332883333,B_90
G12J11,91.6891332883333,B_90
GEMN-0096/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0001/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0002/LH244,123.6666231365001,B_120
GEMN-0096_LH212HT_0003/LH244,123.72899948978102,B_120
GEMN-0096_LH212HT_0004/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0005/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0006/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0008/LH244,123.6666231365001,B_120
GEMN-0096_LH212HT_0009/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0010/LH244,122.2688015766331,B_120
GEMN-0096_LH212HT_0011/LH244,125.79848227556151,B_120
GEMN-0096_LH212HT_0012/LH244,124.79492905931171,B_120
GEMN-0096_LH212HT_0013/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0014/LH244,123.81048039447745,B_120
GEMN-0096_LH212HT_0017/LH244,126.13108057256335,B_130
GEMN-0096_LH212HT_0020/LH244,123.72899948978102,B_120
GEMN-0096_LH212HT_0021/LH244,123.6666231365001,B_120
GEMN-0096_LH212HT_0027/LH244,118.19354723777771,B_120
GEMN-0096_PHJ89_0001/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0002/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0006/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0007/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0009/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0010/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0011/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0012/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0013/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0014/LH244,126.13108057256335,B_130
GEMN-0096_PHJ89_0016/LH244,125.79848227556151,B_120
GEMN-0096_PHJ89_0017/LH244,121.94498801227031,B_120
GEMN-0096_PHK76_0001/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0002/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0003/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0004/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0006/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0007/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0008/LH244,122.1068947944517,B_120
GEMN-0096_PHK76_0009/LH244,122.1068947944517,B_120
GEMN-0096_PHK76_0010/LH244,122.2688015766331,B_120
GEMN-0096_PHK76_0013/LH244,126.13108057256335,B_130
GEMN-0096_PHK76_0014/LH244,123.6666231365001,B_120
GEMN-0096_PHK76_0015/LH244,122.1068947944517,B_120
GEMN-0096_PHK76_0016/LH244,125.79848227556151,B_120
GEMN-0096_PHN46_0001/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0002/LH244,125.79848227556151,B_120
GEMN-0096_PHN46_0003/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0004/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0005/LH244,124.79492905931171,B_120
GEMN-0096_PHN46_0007/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0008/LH244,123.6666231365001,B_120
GEMN-0096_PHN46_0009/LH244,122.1068947944517,B_120
GEMN-0096_PHN46_0010/LH244,125.79848227556151,B_120
GEMN-0096_PHN46_0011/LH244,121.94498801227031,B_120
GEMN-0096_PHN46_0012/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0013/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0014/LH244,125.79848227556151,B_120
GEMN-0096_PHN46_0018/LH244,122.1068947944517,B_120
GEMN-0096_PHN46_0020/LH244,126.13108057256335,B_130
GEMN-0096_PHN46_0023/LH244,122.1068947944517,B_120
GEMN-0096_PHP02_0001/LH244,125.79848227556151,B_120
GEMN-0096_PHP02_0002/LH244,124.73255270603082,B_120
GEMN-0096_PHP02_0003/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0004/LH244,118.19354723777771,B_120
GEMN-0096_PHP02_0005/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0006/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0007/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0008/LH244,121.82247851339339,B_120
GEMN-0096_PHP02_0009/LH244,122.1068947944517,B_120
GEMN-0096_PHP02_0010/LH244,126.23123211721796,B_130
GEMN-0096_PHP02_0011/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0012/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0015/LH244,125.79848227556151,B_120
GEMN-0096_PHP02_0016/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0017/LH244,122.1068947944517,B_120
GEMN-0096_PHP02_0022/LH244,124.79492905931171,B_120
GEMN-0096_PHP02_0025/LH244,126.13108057256335,B_130
GEMN-0096_PHP02_0030/LH244,124.79492905931171,B_120
GEMN-0097/LH244,126.13108057256335,B_130
GEMN-0097/PHB47,120.45754333603601,B_120
GEMN-0097_LH212HT_0002/LH244,122.1068947944517,B_120
GEMN-0097_LH212HT_0004/LH244,126.46367886956517,B_130
GEMN-0097_LH212HT_0017/LH244,121.89321399507935,B_120
GEMN-0097_LH212HT_0018/LH244,123.6666231365001,B_120
GEMN-0097_LH212HT_0019/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0020/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0023/LH244,127.52205932538314,B_130
GEMN-0097_LH212HT_0026/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0032/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0034/LH244,125.79848227556151,B_120
GEMN-0097_LH212HT_0039/LH244,122.2688015766331,B_120
GEMN-0097_LH212HT_0046/LH244,126.23123211721796,B_130
GEMN-0097_LH212HT_0047/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0051/LH244,122.1068947944517,B_120
GEMN-0097_LH212HT_0054/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0058/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0061/LH244,122.1068947944517,B_120
GEMN-0097_LH212HT_0062/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0069/LH244,125.79848227556151,B_120
GEMN-0097_LH212HT_0074/LH244,122.1068947944517,B_120
GEMN-0097_LH212HT_0078/LH244,121.89321399507935,B_120
GEMN-0097_LH212HT_0085/LH244,126.13108057256335,B_130
GEMN-0097_LH212HT_0090/LH244,123.72899948978102,B_120
GEMN-0097_PHJ89_0001/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0002/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0003/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0004/LH244,121.94498801227031,B_120
GEMN-0097_PHJ89_0005/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0006/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0007/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0008/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0010/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0011/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0012/LH244,126.13108057256335,B_130
GEMN-0097_PHJ89_0013/LH244,125.79848227556151,B_120
GEMN-0097_PHJ89_0016/LH244,126.13108057256335,B_130
